Designator,Mid X,Mid Y,Layer,Rotation,Comment,Footprint,Description
R3_A_IN_2,20.719,27.051,TopLayer,0,2.2K,RESC1608X55N,RES SMD 1.6M OHM 5% 1/10W 0603
R11_A_IN_1,11.049,58.9281,TopLayer,0,2.2K,RESC1608X55N,RES SMD 1.6M OHM 5% 1/10W 0603
R6_A_IN_1,14.351,58.801,TopLayer,90,2.2K,RESC1608X55N,RES SMD 1.6M OHM 5% 1/10W 0603
R15_A_IN_1,23.749,58.8139,TopLayer,90,2.2K,RESC1608X55N,RES SMD 1.6M OHM 5% 1/10W 0603
R28_A_IN_1,25.781,59.309,TopLayer,90,2.2K,RESC1608X55N,RES SMD 1.6M OHM 5% 1/10W 0603
R19_A_IN_1,15.494,53.721,TopLayer,0,2.2K,RESC1608X55N,RES SMD 1.6M OHM 5% 1/10W 0603
R25_A_IN_1,16.129,49.022,TopLayer,90,2.2K,RESC1608X55N,RES SMD 1.6M OHM 5% 1/10W 0603
R19_A_IN_2,16.012,34.4299,TopLayer,270,2.2K,RESC1608X55N,RES SMD 1.6M OHM 5% 1/10W 0603
R15_A_IN_2,24.003,39.3701,TopLayer,90,2.2K,RESC1608X55N,RES SMD 1.6M OHM 5% 1/10W 0603
R11_A_IN_2,11.585,38.3669,TopLayer,0,2.2K,RESC1608X55N,RES SMD 1.6M OHM 5% 1/10W 0603
R6_A_IN_2,15.123,39.0019,TopLayer,90,2.2K,RESC1608X55N,RES SMD 1.6M OHM 5% 1/10W 0603
R28_A_IN_2,27.4321,38.862,TopLayer,90,2.2K,RESC1608X55N,RES SMD 1.6M OHM 5% 1/10W 0603
R25_A_IN_2,14.986,27.6989,TopLayer,270,2.2K,RESC1608X55N,RES SMD 1.6M OHM 5% 1/10W 0603
R22_A_IN_1,38.227,59.309,TopLayer,0,2.2K,RESC1608X55N,RES SMD 1.6M OHM 5% 1/10W 0603
R22_A_IN_2,35.052,38.8749,TopLayer,0,2.2K,RESC1608X55N,RES SMD 1.6M OHM 5% 1/10W 0603
R9_A_IN_1,20.955,49.657,TopLayer,0,470K,RES_ERJ3EKF4703V,
